date,headline,sentiment
2025-02-18 13:48:51,Tether Made 'Unsolicited' Bid for Majority Stake in $1B LatAm Agribusiness Adecoagro,neutral
2025-02-18 13:48:08,Bitcoin Supporting Country El Salvador Started Increasing Daily Bitcoin Purchase Amount! Here Are the Details,bullish
2025-02-18 13:47:33,Bitcoin Consolidation Nearing an End? BTC Price Analysis Suggests a Breakout,neutral
2025-02-18 13:46:50,Uniswap price forms death cross as exchange balances dip,bearish
2025-02-18 13:45:02,Dog•Go•To•The•Moon Price Prediction: Will DOG Price Really Go To The Moon?,neutral
2025-02-18 13:39:04,"MicroStrategy Halts Bitcoin Purchase & Shares Sale, Holds 478,740 BTC",bullish
2025-02-18 13:36:09,Market Analysis Report (18 Feb 2025),neutral
2025-02-18 13:30:28,Ripple CTO Shares Insight On XRPL Amid Bitcoin Vs XRP Debate,bullish
2025-02-18 13:29:28,OKX Goes live in 28 European States after Securing MiCA License; Check if it includes your State?,bullish
2025-02-18 13:25:22,The Graph (GRT) Price Prediction 2025-2030: Will GRT Reach New Highs?,neutral
2025-02-18 13:20:44,Trump’s Crypto Czar David Sacks Teases Major Announcements—Is This the Moment for Crypto Investors to Act?,bearish
2025-02-18 13:20:27,A New Era in Cryptocurrency: David Sacks Hints at Transformative Developments,neutral
2025-02-18 13:18:36,"Michael Saylor’s Strategy Holds 478,740 Bitcoins Amid No Recent Sales or Purchases",bearish
2025-02-18 13:11:19,"Bitcoin-Focused Metaplanet to Spit Stock 10:1 After 3,900% Price Surge",neutral
2025-02-18 13:09:18,"MICROSTRATEGY: NO SHARE SALES OR BITCOIN PURCHASES LAST WEEK

💰Coin:
Bitcoin ( $BTC ) $96,203.40",neutral
2025-02-18 13:08:10,XRP Beats Bitcoin in Poll for Best Long-Term Technology,bullish
2025-02-18 13:07:39,"NakamotoDEX Moves Forward With Successful Presale, Strengthening the Stacks Blockchain Ecosystem",bullish
2025-02-18 13:07:15,Here’s How a High Bitcoin Dominance Can Trigger a Strong Altseason,bullish
2025-02-18 13:05:53,Discover How Bitcoin’s Value Could Surge in 2025,bullish
2025-02-18 13:05:52,Solana crashes to a 3-month low wiping out billions,bearish
2025-02-18 13:05:00,Here Are the Top 5 Coins to Watch as China Considers Lifting Bitcoin Ban,bearish
2025-02-18 13:00:48,"NakamotoDEX Moves Forward with Successful Presale, Strengthening the Stacks Blockchain Ecosystem",bullish
2025-02-18 13:00:47,Time-Sensitive! OFFICIALMAGACOIN.COM Is Taking Off—Will BITCOIN and XRP Catch Up?,neutral
2025-02-18 12:57:00,U.S.-Listed Bitcoin Miners Accounted for 29% of Global Hashrate in February: JPMorgan,neutral
2025-02-18 12:48:30,FTX’s $1.2 Billion Repayment to Creditors on February 18: A Step Toward Possible Recovery for the Crypto Market,neutral
2025-02-18 12:46:53,The Core Foundation and partners launch new institutional Bitcoin yield token,neutral
2025-02-18 12:45:41,"Stablecoins Could Reverse De-Dollarization Trend, According to Washington Think Tank",neutral
2025-02-18 12:41:46,"Avalanche Gains Approval in Hong Kong as Ethereum Eyes $3,000 Amid Rising Institutional Inflows",bullish
2025-02-18 12:38:12,Should You Sell Your Solana? Here’s Why SOL Price Is Down 10% Today,neutral
